Course,Branch,College,Collegeid
ba,BA-BED-4Y,USE,699
ba,ECONOMICS,BVB,194
ba,ECONOMICS,JIMS-R,140
ba,ECONOMICS,JIMS-R,504
ba,ECONOMICS,MAIMS,147
ba,ECONOMICS,MAIMS,611
ba,ECONOMICS,SIMS,167
ba,ECONOMICS,VIPS,177
ba,ECONOMICS,VIPS,298
ba,ECONOMICS-4Y,USHSS,216
ba,ENGLISH,BVB,194
ba,ENGLISH,FIMT,514
ba,ENGLISH,FIMT,901
ba,ENGLISH,VIPS,177
ba,ENGLISH-4Y,USHSS,216
ba,JMC,BVICAM,116
ba,JMC,BVICAM,353
ba,JMC,DME,511
ba,JMC,DME,912
ba,JMC,FIMT,901
ba,JMC,IITM,137
ba,JMC,JIMS-VK,142
ba,JMC,JIMS-VK,214
ba,JMC,JIMSEMTC,255
ba,JMC,KCCILHE,274
ba,JMC,LLDIMS,192
ba,JMC,MAIMS,147
ba,JMC,MAIMS,611
ba,JMC,MERI,151
ba,JMC,TIAS,170
ba,JMC,TIAS,213
ba,JMC,TIPS,206
ba,JMC,TIPS,240
ba,JMC,USMC,203
ba,JMC,VIPS,177
ba,JMC,VIPS,298
ba,LA,USLA,204
bba,B%26I,BLSITM,205
bba,B%26I,DIRD,124
bba,B%26I,MSI,149
bba,B%26I,MSI,212
bba,B%26I,SGTBIMIT,902
bba,B%26I,VIPS,177
bba,CAM,CPJCHS,215
bba,CAM,CPJCHS,242
bba,CAM,IIMT,134
bba,CAM,IIMT,210
bba,G,BCIPS,505
bba,G,BCIPS,612
bba,G,BLSITM,205
bba,G,BPIBS,114
bba,G,CPJCHS,215
bba,G,CPJCHS,242
bba,G,DIRD,124
bba,G,DIRD,900
bba,G,DME,511
bba,G,DSPSR,125
bba,G,DSPSR,217
bba,G,FIMT,514
bba,G,FIMT,901
bba,G,IIMT,134
bba,G,IIMT,210
bba,G,IITM2,244
bba,G,IITM2,903
bba,G,IITM,137
bba,G,IITM,211
bba,G,JIMS-K,141
bba,G,JIMS-K,245
bba,G,JIMS-R,140
bba,G,JIMS-R,504
bba,G,JIMS-VK,142
bba,G,JIMS-VK,214
bba,G,JIMSEMTC,255
bba,G,KIHEAT,967
bba,G,KRCHE,193
bba,G,KRCHE,515
bba,G,LLDIMS,192
bba,G,MAIMS,147
bba,G,MAIMS,611
bba,G,MBIT,906
bba,G,MERI,151
bba,G,MSI,149
bba,G,MSI,212
bba,G,MVSIT,551
bba,G,NDIM,155
bba,G,NDIM,506
bba,G,RDIAS,159
bba,G,RDIAS,803
bba,G,SGIT,247
bba,G,SGTBIMIT,902
bba,G,SHDCHE,969
bba,G,TIAS,170
bba,G,TIAS,213
bba,G,TIAS,804
bba,G,TIPS,206
bba,G,TIPS,240
bba,G,VIPS,177
bba,G,VIPS,298
bba,INTEGRATED-5Y,GIBS,191
bba,TTM,BLSITM,205
bba,TTM,CPJCHS,215
bba,TTM,CPJCHS,242
bba,TTM,DIRD,124
bba,TTM,GIBS,191
bba,TTM,IIMT,134
bba,TTM,IIMT,210
bba,TTM,MSI,149
bba,TTM,MSI,212
bba,TTM,RDIAS,159
bba,TTM,RDIAS,803
bba,TTM,SGTBIMIT,902
bba,TTM,TIPS,206
bba,TTM,TIPS,240
bba,TTM,VIPS,177
bba,TTM,VIPS,298
bed,GENERAL,AIE,102
bed,GENERAL,AIE,108
bed,GENERAL,BKIET,966
bed,GENERAL,BLSITM,205
bed,GENERAL,BMJGCE,200
bed,GENERAL,DIRD,124
bed,GENERAL,DTTC,402
bed,GENERAL,FIMT,901
bed,GENERAL,GIAST,128
bed,GENERAL,GNCE,129
bed,GENERAL,GRDCE,218
bed,GENERAL,IVS,139
bed,GENERAL,JIMSEMTC,255
bed,GENERAL,KIHEAT,967
bed,GENERAL,KIRAS,144
bed,GENERAL,KRCHE,193
bed,GENERAL,LLDIMS,192
bed,GENERAL,MSI,149
bed,GENERAL,PMCCE,157
bed,GENERAL,RCIT,158
bed,GENERAL,SCERT,181
bed,GENERAL,SHDCHE,969
bed,GENERAL,SIMS,167
bed,GENERAL,SKCE,799
bed,GENERAL,SLCHE,999
bed,GENERAL,SRITE,970
bed,GENERAL,VDIT,174
bed,ASD,AFA,254
bed,ASD,AIRSR,523
bed,HI,AIRSR,523
bed,HI,SAS,354
bed,ID,AIRSR,523
bed,ID,NIMH,178
bed,LD,TTISE,521
bed,MR,TTISE,521
bed,MR,NIMH,178
bed,MR,SAS,354
