Course,Branch,College,Collegeid
BA,BA-BED-4Y,USE,699
BA,ECONOMICS,BVB,194
BA,ECONOMICS,JIMS-R,140
BA,ECONOMICS,JIMS-R,504
BA,ECONOMICS,MAIMS,147
BA,ECONOMICS,MAIMS,611
BA,ECONOMICS,SIMS,167
BA,ECONOMICS,VIPS,177
BA,ECONOMICS,VIPS,298
BA,ECONOMICS-4Y,USHSS,216
BA,ENGLISH,BVB,194
BA,ENGLISH,FIMT,514
BA,ENGLISH,FIMT,901
BA,ENGLISH,VIPS,177
BA,ENGLISH-4Y,USHSS,216
BA,JMC,BVICAM,116
BA,JMC,BVICAM,353
BA,JMC,DME,511
BA,JMC,DME,912
BA,JMC,FIMT,901
BA,JMC,IITM,137
BA,JMC,JIMS-VK,142
BA,JMC,JIMS-VK,214
BA,JMC,JIMSEMTC,255
BA,JMC,KCCILHE,274
BA,JMC,LLDIMS,192
BA,JMC,MAIMS,147
BA,JMC,MAIMS,611
BA,JMC,MERI,151
BA,JMC,TIAS,170
BA,JMC,TIAS,213
BA,JMC,TIPS,206
BA,JMC,TIPS,240
BA,JMC,USMC,203
BA,JMC,VIPS,177
BA,JMC,VIPS,298
BA,LA,USLA,204
