Course,Branch,College,Collegeid
bed,GENERAL,AIE,102
bed,GENERAL,AIE,108
bed,GENERAL,BKIET,966
bed,GENERAL,BLSITM,205
bed,GENERAL,BMJGCE,200
bed,GENERAL,DIRD,124
bed,GENERAL,DTTC,402
bed,GENERAL,FIMT,901
bed,GENERAL,GIAST,128
bed,GENERAL,GNCE,129
bed,GENERAL,GRDCE,218
bed,GENERAL,IVS,139
bed,GENERAL,JIMSEMTC,255
bed,GENERAL,KIHEAT,967
bed,GENERAL,KIRAS,144
bed,GENERAL,KRCHE,193
bed,GENERAL,LLDIMS,192
bed,GENERAL,MSI,149
bed,GENERAL,PMCCE,157
bed,GENERAL,RCIT,158
bed,GENERAL,SCERT,181
bed,GENERAL,SHDCHE,969
bed,GENERAL,SIMS,167
bed,GENERAL,SKCE,799
bed,GENERAL,SLCHE,999
bed,GENERAL,SRITE,970
bed,GENERAL,VDIT,174
bed,ASD,AFA,254
bed,ASD,AIRSR,523
bed,HI,AIRSR,523
bed,HI,SAS,354
bed,ID,AIRSR,523
bed,ID,NIMH,178
bed,LD,TTISE,521
bed,MR,TTISE,521
bed,MR,NIMH,178
bed,MR,SAS,354
bed,VI,AIRSR,523
