Course,Branch,College,Collegeid
bba,AIDS,ADGITM - E,962
bba,AIDS,ADGITM - M,156
bba,AIDS,DTC - M,180
bba,AIDS,HMR - M,133
bba,AIDS,JIMSEMTC,255
bba,AIDS,USAR,190
bba,AIDS,VIPS,177
bba,AIML,ADGITM - E,962
bba,AIML,ADGITM - M,156
bba,AIML,BMIET,553
bba,AIML,DTC - M,180
bba,AIML,HMR - M,133
bba,AIML,JIMSEMTC,255
bba,AIML,USAR,190
bba,AIML,VIPS,177
bba,AR,USAR,190
bba,BCE,USCT,161
bba,BT,USB,160
bba,CIV,ADGITM - E,962
bba,CIV,ADGITM - M,156
bba,CIV,CBPGEC,207
bba,CIV,DTC - E,256
bba,CIV,DTC - M,180
bba,CIV,JIMSEMTC,255
bba,CIV,MVSIT,551
bba,CSE,ADGITM - E,962
bba,CSE,ADGITM - M,156
bba,CSE,AIACTR,101
bba,CSE,ASET,104
bba,CSE,BPIT,208
bba,CSE,BVCOE - E,512
bba,CSE,BVCOE - M,115
bba,CSE,DTC - E,256
bba,CSE,DTC - M,180
bba,CSE,GBPGEC,209
bba,CSE,GTBIT - E,768
bba,CSE,GTBIT - M,132
bba,CSE,HMR - E,965
bba,CSE,HMR - M,133
bba,CSE,JIMSEMTC,255
bba,CSE,MAIT - E,964
bba,CSE,MAIT - M,148
bba,CSE,MSIT - E,963
bba,CSE,MSIT - M,150
bba,CSE,MVSIT,551
bba,CSE,USICT,164
bba,CS,ADGITM - E,962
bba,CS,ADGITM - M,156
bba,CS,BPIT - E,961
bba,CS,BPIT - M,114
bba,CS,DTC - E,966
bba,CS,DTC - M,180
bba,CS,GBPGEC,209
bba,CS,GTBIT - E,768
bba,CS,GTBIT - M,132
bba,CS,HMR - E,965
bba,CS,HMR - M,133
bba,CS,JIMSEMTC,255
bba,CS,MAIT - E,964
bba,CS,MAIT - M,148
bba,CS,MSIT - E,963
bba,CS,MSIT - M,150
bba,CS,MVSIT,551
bba,CS,USICT,164
bba,CSAM,VIPS,177
bba,CSE-AI,MAIT - M,148
bba,CSE-AI,USICT,164
bba,CSE-AIML,BVCOE - M,115
bba,CSE-AIML,GTB4CEC,238
bba,CSE-AIML,GTBIT - M,132
bba,CSE-AIML,MAIT - M,148
bba,CSE-AIML,TIIPS,279
bba,CSE-DS,BPIT,208
bba,CSE-DS,GTB4CEC,238
bba,CSE-DS,GTBIT - M,132
bba,CSE-DS,HMR - M,133
bba,CSE-DS,MAIT - M,148
bba,CSE-DS,USICT,164
bba,CST,ADGITM - E,962
bba,CST,ADGITM - M,156
bba,CST,BPIT,208
bba,CST,DTC - M,180
bba,CST,GTB4CEC,238
bba,CST,GTBIT - M,132
bba,CST,HMR - M,133
bba,CST,JIMS-E,138
bba,CST,JIMS-V,168
bba,CST,MAIT - M,148
bba,CST,MSIT - M,150
bba,CST,NIEC,152
bba,CST,TIIPS,279
bba,CST,USICT,164
bba,CST,VIPS,177
bba,CT,USCT,161
bba,ECE,ADGITM - E,962
bba,ECE,ADGITM - M,156
bba,ECE,BPIT,208
bba,ECE,BVCOE - M,115
bba,ECE,GTB4CEC,238
bba,ECE,GTBIT - M,132
bba,ECE,MAIT - M,148
bba,ECE,MSIT - E,963
bba,ECE,MSIT - M,150
bba,ECE,USICT,164
bba,ECE-ACT,MAIT - M,148
bba,EE,JIMSEMTC,255
bba,EE,MVSIT,551
bba,EE-VLSI,MAIT - M,148
bba,EE-VLSI,VIPS,177
bba,EEE,BPIT,208
bba,EEE,BVCOE - M,115
bba,EEE,MAIT - M,148
bba,EEE,MSIT - M,150
bba,ENERGY,USCT,161
bba,ENV,CBPGEC,207
bba,ICE,ASET,104
bba,ICE,BVCOE - M,115
bba,IOT,USAR,190
bba,IOT,VIPS,177
bba,IT,ADGITM - E,962
bba,IT,ADGITM - M,156
bba,IT,BPIT,208
bba,IT,BVCOE - M,115
bba,IT,GNIT,272
bba,IT,GTBIT - E,768
bba,IT,GTBIT - M,132
bba,IT,MAIT - M,148
bba,IT,MSIT - E,963
bba,IT,MSIT - M,150
bba,IT,TIIPS,279
bba,IT,USICT,164
bba,ITE,MAIT - M,148
bba,MAE,MAIT - M,148
bba,MAE,ADGITM - M,156
bba,ME,ADGITM - M,156
bba,ME,GNIT,272
bba,ME,HMR - M,133
bba,ME,MAIT - M,148
bba,ME,SBIT,899
bba,MET,DITE,702
bba,PE,NPTI,153
bba,TE,DITE,702
