Course,Branch,College,Collegeid
llb,BA&LLB,ALS,103
llb,BA&LLB,BLSITM,205
llb,BA&LLB,CPJCHS,215
llb,BA&LLB,DIRD,224
llb,BA&LLB,DME,511
llb,BA&LLB,FIMT,901
llb,BA&LLB,IIMT,134
llb,BA&LLB,JIMSEMTC,255
llb,BA&LLB,SKCE,799
llb,BA&LLB,USLLS,165
llb,BA&LLB,VIPS,177
llb,BBA&LLB,CPJCHS,215
llb,BBA&LLB,DIRD,224
llb,BBA&LLB,DME,511
llb,BBA&LLB,FIMT,901
llb,BBA&LLB,JIMSEMTC,255
llb,BBA&LLB,SKCE,799
llb,BBA&LLB,USLLS,165
llb,BBA&LLB,VIPS,177
llb,AHM,DIHRM,409
llb,CPHM,DIHRM,409
llb,CRIMINOLOGY,LNJNNICFC,185
llb,ECONOMICS,USHSS,216
llb,ENGLISH,USHSS,216
