Enrollment Number,Course,Batch,College ID,Branch
00751421722,ba,22,514,ENGLISH
00551421722,ba,22,514,ENGLISH
00151421722,ba,22,514,ENGLISH
00451421722,ba,22,514,ENGLISH
01051421722,ba,22,514,ENGLISH
00851421722,ba,22,514,ENGLISH
00251421722,ba,22,514,ENGLISH
00651421722,ba,22,514,ENGLISH
00351421722,ba,22,514,ENGLISH
01151421722,ba,22,514,ENGLISH
01551421722,ba,22,514,ENGLISH
00951421722,ba,22,514,ENGLISH
01251421722,ba,22,514,ENGLISH
01651421722,ba,22,514,ENGLISH
01351421722,ba,22,514,ENGLISH
01451421722,ba,22,514,ENGLISH
00490121722,ba,22,901,ENGLISH
00990121722,ba,22,901,ENGLISH
00390121722,ba,22,901,ENGLISH
35290121722,ba,22,901,ENGLISH
00290121722,ba,22,901,ENGLISH
00590121722,ba,22,901,ENGLISH
00790121722,ba,22,901,ENGLISH
00890121722,ba,22,901,ENGLISH
01190121722,ba,22,901,ENGLISH
01590121722,ba,22,901,ENGLISH
35190121722,ba,22,901,ENGLISH
00690121722,ba,22,901,ENGLISH
01090121722,ba,22,901,ENGLISH
01490121722,ba,22,901,ENGLISH
01390121722,ba,22,901,ENGLISH
01290121722,ba,22,901,ENGLISH
00917721722,ba,22,177,ENGLISH
04617721722,ba,22,177,ENGLISH
06617721722,ba,22,177,ENGLISH
07517721722,ba,22,177,ENGLISH
03917721722,ba,22,177,ENGLISH
01017721722,ba,22,177,ENGLISH
00717721722,ba,22,177,ENGLISH
03817721722,ba,22,177,ENGLISH
05017721722,ba,22,177,ENGLISH
00117721722,ba,22,177,ENGLISH
00417721722,ba,22,177,ENGLISH
05117721722,ba,22,177,ENGLISH
07817721722,ba,22,177,ENGLISH
08117721722,ba,22,177,ENGLISH
04517721722,ba,22,177,ENGLISH
07717721722,ba,22,177,ENGLISH
04417721722,ba,22,177,ENGLISH
00817721722,ba,22,177,ENGLISH
02517721722,ba,22,177,ENGLISH
02117721722,ba,22,177,ENGLISH
05717721722,ba,22,177,ENGLISH
03317721722,ba,22,177,ENGLISH
05817721722,ba,22,177,ENGLISH
03517721722,ba,22,177,ENGLISH
05317721722,ba,22,177,ENGLISH
06517721722,ba,22,177,ENGLISH
01317721722,ba,22,177,ENGLISH
07917721722,ba,22,177,ENGLISH
35917721722,ba,22,177,ENGLISH
01617721722,ba,22,177,ENGLISH
02017721722,ba,22,177,ENGLISH
08217721722,ba,22,177,ENGLISH
90117721722,ba,22,177,ENGLISH
01417721722,ba,22,177,ENGLISH
35417721722,ba,22,177,ENGLISH
06717721722,ba,22,177,ENGLISH
03417721722,ba,22,177,ENGLISH
04017721722,ba,22,177,ENGLISH
06317721722,ba,22,177,ENGLISH
01717721722,ba,22,177,ENGLISH
04117721722,ba,22,177,ENGLISH
05917721722,ba,22,177,ENGLISH
90617721722,ba,22,177,ENGLISH
01817721722,ba,22,177,ENGLISH
05417721722,ba,22,177,ENGLISH
02617721722,ba,22,177,ENGLISH
02717721722,ba,22,177,ENGLISH
04717721722,ba,22,177,ENGLISH
06017721722,ba,22,177,ENGLISH
35317721722,ba,22,177,ENGLISH
01217721722,ba,22,177,ENGLISH
07217721722,ba,22,177,ENGLISH
90317721722,ba,22,177,ENGLISH
01517721722,ba,22,177,ENGLISH
06917721722,ba,22,177,ENGLISH
02317721722,ba,22,177,ENGLISH
35617721722,ba,22,177,ENGLISH
03717721722,ba,22,177,ENGLISH
04917721722,ba,22,177,ENGLISH
70117721722,ba,22,177,ENGLISH
00317721722,ba,22,177,ENGLISH
08017721722,ba,22,177,ENGLISH
35517721722,ba,22,177,ENGLISH
05217721722,ba,22,177,ENGLISH
35217721722,ba,22,177,ENGLISH
05517721722,ba,22,177,ENGLISH
35117721722,ba,22,177,ENGLISH
04817721722,ba,22,177,ENGLISH
36117721722,ba,22,177,ENGLISH
08617721722,ba,22,177,ENGLISH
00517721722,ba,22,177,ENGLISH
02917721722,ba,22,177,ENGLISH
04317721722,ba,22,177,ENGLISH
35817721722,ba,22,177,ENGLISH
90517721722,ba,22,177,ENGLISH
01917721722,ba,22,177,ENGLISH
07017721722,ba,22,177,ENGLISH
02417721722,ba,22,177,ENGLISH
07317721722,ba,22,177,ENGLISH
07417721722,ba,22,177,ENGLISH
70217721722,ba,22,177,ENGLISH
03017721722,ba,22,177,ENGLISH
06117721722,ba,22,177,ENGLISH
70317721722,ba,22,177,ENGLISH
90217721722,ba,22,177,ENGLISH
03217721722,ba,22,177,ENGLISH
06217721722,ba,22,177,ENGLISH
70517721722,ba,22,177,ENGLISH
80117721722,ba,22,177,ENGLISH
01117721722,ba,22,177,ENGLISH
08517721722,ba,22,177,ENGLISH
08317721722,ba,22,177,ENGLISH
06817721722,ba,22,177,ENGLISH
02817721722,ba,22,177,ENGLISH
02217721722,ba,22,177,ENGLISH
90417721722,ba,22,177,ENGLISH
07617721722,ba,22,177,ENGLISH
36017721722,ba,22,177,ENGLISH
05617721722,ba,22,177,ENGLISH
00617721722,ba,22,177,ENGLISH
70417721722,ba,22,177,ENGLISH
06417721722,ba,22,177,ENGLISH
35717721722,ba,22,177,ENGLISH
03117721722,ba,22,177,ENGLISH
03617721722,ba,22,177,ENGLISH
04217721722,ba,22,177,ENGLISH
07117721722,ba,22,177,ENGLISH
08417721722,ba,22,177,ENGLISH
01811602422,ba,22,116,JMC
06911602422,ba,22,116,JMC
00911602422,ba,22,116,JMC
02411602422,ba,22,116,JMC
00811602422,ba,22,116,JMC
01111602422,ba,22,116,JMC
01211602422,ba,22,116,JMC
09011602422,ba,22,116,JMC
04411602422,ba,22,116,JMC
05311602422,ba,22,116,JMC
04111602422,ba,22,116,JMC
03811602422,ba,22,116,JMC
08711602422,ba,22,116,JMC
02611602422,ba,22,116,JMC
05011602422,ba,22,116,JMC
07811602422,ba,22,116,JMC
09111602422,ba,22,116,JMC
01311602422,ba,22,116,JMC
03411602422,ba,22,116,JMC
03211602422,ba,22,116,JMC
06011602422,ba,22,116,JMC
07011602422,ba,22,116,JMC
03511602422,ba,22,116,JMC
09711602422,ba,22,116,JMC
00411602422,ba,22,116,JMC
00611602422,ba,22,116,JMC
05411602422,ba,22,116,JMC
02211602422,ba,22,116,JMC
03911602422,ba,22,116,JMC
06211602422,ba,22,116,JMC
03311602422,ba,22,116,JMC
03111602422,ba,22,116,JMC
02111602422,ba,22,116,JMC
05711602422,ba,22,116,JMC
06611602422,ba,22,116,JMC
02011602422,ba,22,116,JMC
01411602422,ba,22,116,JMC
09311602422,ba,22,116,JMC
04711602422,ba,22,116,JMC
