Enrollment Number,Course,Batch,College ID,Branch
05214901823,bba,23,149,B%26I
02014901823,bba,23,149,B%26I
04314901823,bba,23,149,B%26I
35314901823,bba,23,149,B%26I
04114901823,bba,23,149,B%26I
01714901823,bba,23,149,B%26I
35114901823,bba,23,149,B%26I
00114901823,bba,23,149,B%26I
02914901823,bba,23,149,B%26I
00414901823,bba,23,149,B%26I
01214901823,bba,23,149,B%26I
00314901823,bba,23,149,B%26I
02514901823,bba,23,149,B%26I
03214901823,bba,23,149,B%26I
03914901823,bba,23,149,B%26I
04814901823,bba,23,149,B%26I
05114901823,bba,23,149,B%26I
35414901823,bba,23,149,B%26I
02414901823,bba,23,149,B%26I
02314901823,bba,23,149,B%26I
04914901823,bba,23,149,B%26I
05414901823,bba,23,149,B%26I
04214901823,bba,23,149,B%26I
02114901823,bba,23,149,B%26I
35214901823,bba,23,149,B%26I
00614901823,bba,23,149,B%26I
00814901823,bba,23,149,B%26I
03314901823,bba,23,149,B%26I
00214901823,bba,23,149,B%26I
01614901823,bba,23,149,B%26I
01114901823,bba,23,149,B%26I
01314901823,bba,23,149,B%26I
03614901823,bba,23,149,B%26I
01814901823,bba,23,149,B%26I
03114901823,bba,23,149,B%26I
00714901823,bba,23,149,B%26I
00914901823,bba,23,149,B%26I
00514901823,bba,23,149,B%26I
04514901823,bba,23,149,B%26I
01014901823,bba,23,149,B%26I
04614901823,bba,23,149,B%26I
01914901823,bba,23,149,B%26I
02814901823,bba,23,149,B%26I
03014901823,bba,23,149,B%26I
04414901823,bba,23,149,B%26I
02214901823,bba,23,149,B%26I
03514901823,bba,23,149,B%26I
04714901823,bba,23,149,B%26I
02614901823,bba,23,149,B%26I
35514901823,bba,23,149,B%26I
01414901823,bba,23,149,B%26I
35614901823,bba,23,149,B%26I
03714901823,bba,23,149,B%26I
01514901823,bba,23,149,B%26I
05014901823,bba,23,149,B%26I
02714901823,bba,23,149,B%26I
03414901823,bba,23,149,B%26I
04014901823,bba,23,149,B%26I
05314901823,bba,23,149,B%26I
03814901823,bba,23,149,B%26I
04721201823,bba,23,212,B%26I
35121201823,bba,23,212,B%26I
03321201823,bba,23,212,B%26I
03121201823,bba,23,212,B%26I
70321201823,bba,23,212,B%26I
70221201823,bba,23,212,B%26I
03021201823,bba,23,212,B%26I
01421201823,bba,23,212,B%26I
