Enrollment Number,Course,Batch,College ID,Branch
02210802123,bed,23,108,GENERAL
03810802123,bed,23,108,GENERAL
03510802123,bed,23,108,GENERAL
01310802123,bed,23,108,GENERAL
03210802123,bed,23,108,GENERAL
04210802123,bed,23,108,GENERAL
70210802123,bed,23,108,GENERAL
00910802123,bed,23,108,GENERAL
01510802123,bed,23,108,GENERAL
02710802123,bed,23,108,GENERAL
70410802123,bed,23,108,GENERAL
02410802123,bed,23,108,GENERAL
04610802123,bed,23,108,GENERAL
03310802123,bed,23,108,GENERAL
02910802123,bed,23,108,GENERAL
01010802123,bed,23,108,GENERAL
04810802123,bed,23,108,GENERAL
01710802123,bed,23,108,GENERAL
02010802123,bed,23,108,GENERAL
01810802123,bed,23,108,GENERAL
00310802123,bed,23,108,GENERAL
00410802123,bed,23,108,GENERAL
00210802123,bed,23,108,GENERAL
01410802123,bed,23,108,GENERAL
03410802123,bed,23,108,GENERAL
02510802123,bed,23,108,GENERAL
04110802123,bed,23,108,GENERAL
03710802123,bed,23,108,GENERAL
70110802123,bed,23,108,GENERAL
03110802123,bed,23,108,GENERAL
04910802123,bed,23,108,GENERAL
04710802123,bed,23,108,GENERAL
04010802123,bed,23,108,GENERAL
04510802123,bed,23,108,GENERAL
03610802123,bed,23,108,GENERAL
03910802123,bed,23,108,GENERAL
00710802123,bed,23,108,GENERAL
02110802123,bed,23,108,GENERAL
00110802123,bed,23,108,GENERAL
05010802123,bed,23,108,GENERAL
01110802123,bed,23,108,GENERAL
04310802123,bed,23,108,GENERAL
70310802123,bed,23,108,GENERAL
01210802123,bed,23,108,GENERAL
00510802123,bed,23,108,GENERAL
01610802123,bed,23,108,GENERAL
03010802123,bed,23,108,GENERAL
02310802123,bed,23,108,GENERAL
00610802123,bed,23,108,GENERAL
00810802123,bed,23,108,GENERAL
05110802123,bed,23,108,GENERAL
02810802123,bed,23,108,GENERAL
01910802123,bed,23,108,GENERAL
02610802123,bed,23,108,GENERAL
04410802123,bed,23,108,GENERAL
00312402123,bed,23,124,GENERAL
01912402123,bed,23,124,GENERAL
02212402123,bed,23,124,GENERAL
00912402123,bed,23,124,GENERAL
01212402123,bed,23,124,GENERAL
70312402123,bed,23,124,GENERAL
00712402123,bed,23,124,GENERAL
01112402123,bed,23,124,GENERAL
70112402123,bed,23,124,GENERAL
02312402123,bed,23,124,GENERAL
00412402123,bed,23,124,GENERAL
00512402123,bed,23,124,GENERAL
01512402123,bed,23,124,GENERAL
00812402123,bed,23,124,GENERAL
00612402123,bed,23,124,GENERAL
02012402123,bed,23,124,GENERAL
01012402123,bed,23,124,GENERAL
70212402123,bed,23,124,GENERAL
01712402123,bed,23,124,GENERAL
01812402123,bed,23,124,GENERAL
01412402123,bed,23,124,GENERAL
00212402123,bed,23,124,GENERAL
01312402123,bed,23,124,GENERAL
01612402123,bed,23,124,GENERAL
00112402123,bed,23,124,GENERAL
02112402123,bed,23,124,GENERAL
71040202123,bed,23,402,GENERAL
00940202123,bed,23,402,GENERAL
71240202123,bed,23,402,GENERAL
71340202123,bed,23,402,GENERAL
01840202123,bed,23,402,GENERAL
70240202123,bed,23,402,GENERAL
03540202123,bed,23,402,GENERAL
04340202123,bed,23,402,GENERAL
00540202123,bed,23,402,GENERAL
01340202123,bed,23,402,GENERAL
02240202123,bed,23,402,GENERAL
02640202123,bed,23,402,GENERAL
03740202123,bed,23,402,GENERAL
01940202123,bed,23,402,GENERAL
70840202123,bed,23,402,GENERAL
70740202123,bed,23,402,GENERAL
02140202123,bed,23,402,GENERAL
03040202123,bed,23,402,GENERAL
02740202123,bed,23,402,GENERAL
03840202123,bed,23,402,GENERAL
03140202123,bed,23,402,GENERAL
02840202123,bed,23,402,GENERAL
00140202123,bed,23,402,GENERAL
04140202123,bed,23,402,GENERAL
71140202123,bed,23,402,GENERAL
00240202123,bed,23,402,GENERAL
71440202123,bed,23,402,GENERAL
04640202123,bed,23,402,GENERAL
05040202123,bed,23,402,GENERAL
03340202123,bed,23,402,GENERAL
70940202123,bed,23,402,GENERAL
05240202123,bed,23,402,GENERAL
02440202123,bed,23,402,GENERAL
70340202123,bed,23,402,GENERAL
00340202123,bed,23,402,GENERAL
00740202123,bed,23,402,GENERAL
03640202123,bed,23,402,GENERAL
01240202123,bed,23,402,GENERAL
70140202123,bed,23,402,GENERAL
01140202123,bed,23,402,GENERAL
00440202123,bed,23,402,GENERAL
04740202123,bed,23,402,GENERAL
70540202123,bed,23,402,GENERAL
01040202123,bed,23,402,GENERAL
03240202123,bed,23,402,GENERAL
01640202123,bed,23,402,GENERAL
02340202123,bed,23,402,GENERAL
70440202123,bed,23,402,GENERAL
03440202123,bed,23,402,GENERAL
01540202123,bed,23,402,GENERAL
04240202123,bed,23,402,GENERAL
02940202123,bed,23,402,GENERAL
71640202123,bed,23,402,GENERAL
02040202123,bed,23,402,GENERAL
70640202123,bed,23,402,GENERAL
05140202123,bed,23,402,GENERAL
04040202123,bed,23,402,GENERAL
71540202123,bed,23,402,GENERAL
04840202123,bed,23,402,GENERAL
00640202123,bed,23,402,GENERAL
00840202123,bed,23,402,GENERAL
71740202123,bed,23,402,GENERAL
03940202123,bed,23,402,GENERAL
01440202123,bed,23,402,GENERAL
01740202123,bed,23,402,GENERAL
02540202123,bed,23,402,GENERAL
04540202123,bed,23,402,GENERAL
04440202123,bed,23,402,GENERAL
04940202123,bed,23,402,GENERAL
70790102123,bed,23,901,GENERAL
01190102123,bed,23,901,GENERAL
01690102123,bed,23,901,GENERAL
70490102123,bed,23,901,GENERAL
05490102123,bed,23,901,GENERAL
04990102123,bed,23,901,GENERAL
70190102123,bed,23,901,GENERAL
02090102123,bed,23,901,GENERAL
02690102123,bed,23,901,GENERAL
01490102123,bed,23,901,GENERAL
04590102123,bed,23,901,GENERAL
02790102123,bed,23,901,GENERAL
04390102123,bed,23,901,GENERAL
71390102123,bed,23,901,GENERAL
70290102123,bed,23,901,GENERAL
03490102123,bed,23,901,GENERAL
02890102123,bed,23,901,GENERAL
05390102123,bed,23,901,GENERAL
03390102123,bed,23,901,GENERAL
01790102123,bed,23,901,GENERAL
03590102123,bed,23,901,GENERAL
04490102123,bed,23,901,GENERAL
02590102123,bed,23,901,GENERAL
01590102123,bed,23,901,GENERAL
01990102123,bed,23,901,GENERAL
04790102123,bed,23,901,GENERAL
05590102123,bed,23,901,GENERAL
70990102123,bed,23,901,GENERAL
00690102123,bed,23,901,GENERAL
02990102123,bed,23,901,GENERAL
70890102123,bed,23,901,GENERAL
71190102123,bed,23,901,GENERAL
70390102123,bed,23,901,GENERAL
01390102123,bed,23,901,GENERAL
03290102123,bed,23,901,GENERAL
00490102123,bed,23,901,GENERAL
00890102123,bed,23,901,GENERAL
03990102123,bed,23,901,GENERAL
71090102123,bed,23,901,GENERAL
01290102123,bed,23,901,GENERAL
01890102123,bed,23,901,GENERAL
05090102123,bed,23,901,GENERAL
71290102123,bed,23,901,GENERAL
03690102123,bed,23,901,GENERAL
05290102123,bed,23,901,GENERAL
00790102123,bed,23,901,GENERAL
04290102123,bed,23,901,GENERAL
00190102123,bed,23,901,GENERAL
04890102123,bed,23,901,GENERAL
70690102123,bed,23,901,GENERAL
00990102123,bed,23,901,GENERAL
04190102123,bed,23,901,GENERAL
04690102123,bed,23,901,GENERAL
71490102123,bed,23,901,GENERAL
01090102123,bed,23,901,GENERAL
02490102123,bed,23,901,GENERAL
00590102123,bed,23,901,GENERAL
00290102123,bed,23,901,GENERAL
